Key,EN,Notes,JP
mima.keine1,Imperishable Night: Event Horizon,,永夜「事象の地平線」
mima.keine2,Ancient Night: Embarking Footprints Upon an Untraversed Land,,遺夜「未知なる地に踏んだ足跡」
mima.kaguya1,Silent Night: The Comet Cursing its Own Name,,静夜「己の名を罵る彗星」
mima.kaguya2,Imperishable Night: Anticyclonic Storm Wiping Away Desire,,永夜「欲望を捨てさせる逆渦雷」
mima.kars,Tenryuu's Descent: Kars Wandering the Asteroid Belt,,天竜の降臨「小惑星帯を漂うカーズ」
mima.stars,Silent Night: Following the Stars to the End of Nowhere,,静夜「星を世の果てまで追って」
mima.constellations,Tenryuu's Ascent: All Quiet in the Constellation's Eye,,天竜の上昇「星座の中心での静寂」
mima.andromeda,Starry Night: The Andromeda Revolving,,星夜「回転するアンドロメダ」
mima.starfall,Silent Night: Where Fallen Stars Come to Rest,,静夜「流星が眠りにつく墓場」
mima.4pt,Crescent Moon: Funeral Bell for the Four-Pointed Star,,三日月「四角の星のための弔鐘」
mima.dancing,Starry Night: Dancing Where the Sun Dares Not Shine,,星夜「太陽のあたらない所での踊り」
mima.supernova,Supernova: Temporality Consumed by its Progeny,,超新星「我が子に喰らわれる光陰」
,,,
kasen2.flower,Flowering Seal: Rooted in the Earth and Reaching for the Moon,,華封「根は土に、手は月へ」
kasen2.conspiracy,Conspiracy Woven Behind the Water Curtain,,水簾の向こうで企まれた謀議
kasen2.hakkero,Fiery-Eyed Escape from Eight Trigrams,,八卦炉からの火眼の脱出
kasen2.tss,The Shattered Sky: Where Tenryuu Consumes the North Star,,空破「天帝星を食い潰す天竜」
,,,
reimu.sssc,Silent Sinner's Summoning Ceremony,,罪と罰「召喚の儀式」
reimu.apollo,Apollon Gravity Assist,,アポロのスイングバイ
reimu.centripetal,Fantasy Seal ~Centripetal Force~,,夢想封印「求心力」
reimu.breakingwheel,The Breaking-Wheel of Karma,,業の車裂き
reimu.ssss,Silent Sinner's Secret Sentry,,罪と罰「灯台下の密偵」
reimu.avaricious,Fantasy Seal ~Impure Wrath of the Avaricious~,,夢想封印「強欲なるもの不純な憤怒」
reimu.final,Lost Cry of a Forgotten God,,忘れられた神の聞こえない鳴き声
,,,
mokou.cinder,Sacred Flame: Ashen Flight of a Cindered Soul,,浄火「灰の空を飛び渡す薪の王」
mokou.serpent,Demon's Scar: Profaned Seething Chaos Serpent,,デーモンの爪痕「罪の混沌の黒蛇」
mokou.mii,Entei: Erratic Blaze Queen's Flaming Prison,,炎帝「怪焔王大車獄」
,,,
yukariex.nightmare,Hunter's Nightmare: One-Eyed Apostle Hanging from the World Tree,,狩人の悪夢「世界樹につる隻眼の使徒」
yukariex.karyuudogari,Krähenkönig: Hunter of Hunters,,烏王「狩人狩り」
yukariex.dbf,"Profound Danmaku Bounded Field: Wisdom, Justice, and Love",,深弾幕結界「知恵・正義・愛」
,,,
shinki.uc1,Unnamed Card 1,,無名のスペルカード第１
shinki.creation,"No Creation, No Destruction",,不生不滅
shinki.uc2,Unnamed Card 2,,無名のスペルカード第２
shinki.cheetos,Eight Million Writhing Souls in One Drop of Water,,水一滴に宿る八百万の魂
shinki.uc3,Unnamed Card 3,,無名のスペルカード第３
shinki.purity,"No Defilement, No Purity",,不垢不浄
shinki.uc4,Unnamed Card 4,,無名のスペルカード第４
shinki.growth,"No Growth, No Reduction",,不増不減
shinki.uc5,Unnamed Card 5,,無名のスペルカード第５
shinki.recitation,Devil's Recitation of Eight Million Wordless Sutras,,八百万の巻物の魔神復誦
shinki.gyate,"Gone, Gone, Gone to the Other Shore",,羯諦　羯諦　波羅羯諦
shinki.final,"""Now I am Become Death, Destroyer of Worlds""",,「今や我は死なり、世界を破壊する者なり」
,,,
reymoo.dice,God's Throwing Dice,,神々のサイコロ
reymoo.wind,Winds Bringing No Change,,変化齎さぬ潮風
